"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"517","Draymond Green","Golden State Warriors","12/1/16",2016,4,7,5,"missed shot","Floating Jump shot","2PT Field Goal",10,"Houston Rockets",-63,90,41
"518","Draymond Green","Golden State Warriors","3/31/17",2016,1,6,16,"missed shot","Floating Jump shot","2PT Field Goal",12,"Houston Rockets",46,111,6
"519","Draymond Green","Golden State Warriors","3/20/17",2016,1,11,9,"missed shot","Floating Jump shot","2PT Field Goal",15,"Oklahoma City Thunder",-155,-11,1
"520","Draymond Green","Golden State Warriors","11/13/16",2016,1,6,37,"missed shot","Floating Jump shot","2PT Field Goal",14,"Phoenix Suns",2,144,6
"521","Draymond Green","Golden State Warriors","11/18/16",2016,1,1,31,"missed shot","Floating Jump shot","2PT Field Goal",8,"Boston Celtics",-6,82,11
"522","Draymond Green","Golden State Warriors","11/4/16",2016,2,5,54,"made shot","Hook Shot","2PT Field Goal",6,"Los Angeles Lakers",-59,32,19
"523","Draymond Green","Golden State Warriors","3/31/17",2016,3,11,7,"missed shot","Jump Bank Shot","2PT Field Goal",3,"Houston Rockets",4,36,25
"524","Draymond Green","Golden State Warriors","12/3/16",2016,1,9,30,"made shot","Jump Bank Shot","2PT Field Goal",10,"Phoenix Suns",-101,41,3
"525","Draymond Green","Golden State Warriors","11/16/16",2016,4,6,23,"missed shot","Jump Bank Shot","3PT Field Goal",26,"Toronto Raptors",-2,262,42
"526","Draymond Green","Golden State Warriors","3/29/17",2016,3,0,41,"made shot","Jump Bank Shot","2PT Field Goal",4,"San Antonio Spurs",-45,3,36
"527","Draymond Green","Golden State Warriors","2/27/17",2016,4,6,26,"made shot","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",-241,-6,42
"528","Draymond Green","Golden State Warriors","3/31/17",2016,4,1,37,"missed shot","Jump Shot","2PT Field Goal",10,"Houston Rockets",94,36,47
"529","Draymond Green","Golden State Warriors","3/31/17",2016,1,3,5,"missed shot","Jump Shot","2PT Field Goal",17,"Houston Rockets",107,134,9
"530","Draymond Green","Golden State Warriors","3/31/17",2016,4,4,51,"missed shot","Jump Shot","3PT Field Goal",26,"Houston Rockets",-27,262,44
"531","Draymond Green","Golden State Warriors","3/31/17",2016,3,11,28,"missed shot","Jump Shot","3PT Field Goal",27,"Houston Rockets",69,262,25
"532","Draymond Green","Golden State Warriors","3/31/17",2016,4,0,50,"missed shot","Jump Shot","2PT Field Goal",6,"Houston Rockets",-48,47,48
